Gene	logFC KO/WT	logCPM	pVal.Cmn	adj.pVal.Cmn	pVal.Tgw	adj.pVal.Tgw	Cmn.Disp	Tgw.Disp	UpDown.Cmn	UpDown.Tgw	WT #1 FPKM	WT #2 FPKM	WT #3 FPKM	KO CLONE1 FPKM	KO CLONE2 FPKM	KO CLONE3 FPKM	geneName
ENSG00000178695	-3.044634455	0.552964034	9.36E-21	3.99E-18	1.09E-17	6.10E-15	0.030544097	0.030544097	-1	-1	68	46	101	8	7	15	KCTD12
ENSG00000184292	-2.966849737	0.507734926	1.63E-20	6.54E-18	5.02E-11	1.53E-08	0.030544097	0.030544097	-1	-1	83	46	73	23	7	1	TACSTD2
ENSG00000108244	-2.831471199	3.101389125	6.55E-32	5.11E-29	4.90E-27	4.30E-24	0.030544097	0.030544097	-1	-1	418	290	529	65	99	43	KRT23
ENSG00000115339	-2.802819539	3.260170397	6.10E-32	5.04E-29	3.12E-30	3.13E-27	0.030544097	0.030544097	-1	-1	449	337	585	110	56	70	GALNT3
ENSG00000047634	-2.795946654	2.452539259	7.03E-29	4.29E-26	2.14E-24	1.77E-21	0.030544097	0.030544097	-1	-1	239	216	313	37	58	39	SCML1
ENSG00000163762	-2.746909072	-0.082552294	9.40E-15	2.24E-12	7.26E-09	1.16E-06	0.030544097	0.030544097	-1	-1	38	40	50	19	3	1	TM4SF18
ENSG00000091879	-2.62373178	1.272136739	5.74E-21	2.52E-18	0.005530419	0.036855469	0.030544097	0.030544097	-1	-1	100	109	114	1	64	0	ANGPT2
ENSG00000218336	-2.578414516	-0.266175366	2.60E-12	4.19E-10	1.53E-10	4.07E-08	0.030544097	0.030544097	-1	-1	36	28	48	8	12	2	TENM3
ENSG00000233514	-2.573179662	3.897030327	3.53E-29	2.26E-26	1.88E-08	2.59E-06	0.030544097	0.030544097	-1	-1	907	703	211	142	171	107	RP11-570P14.1
ENSG00000241494	-2.537237398	5.216229438	1.93E-30	1.29E-27	4.07E-06	0.00018164	0.030544097	0.030544097	-1	-1	1945	2077	275	337	359	369	RP11-796G6.1
ENSG00000176463	-2.521088993	-0.129037353	1.79E-12	2.99E-10	5.48E-10	1.20E-07	0.030544097	0.030544097	-1	-1	36	32	55	7	3	15	SLCO3A1
ENSG00000162407	-2.520980085	0.471944705	1.25E-15	3.63E-13	1.40E-12	5.95E-10	0.030544097	0.030544097	-1	-1	74	29	94	13	12	14	PPAP2B
ENSG00000102287	-2.433173522	0.569530014	1.55E-15	4.27E-13	4.47E-13	1.96E-10	0.030544097	0.030544097	-1	-1	58	49	97	15	10	19	GABRE
ENSG00000196374	-2.391542899	4.507477903	1.16E-26	6.76E-24	1.50E-10	4.05E-08	0.030544097	0.030544097	-1	-1	908	1051	935	250	377	92	HIST1H2BM
ENSG00000185130	-2.271867878	3.230177054	1.02E-22	5.09E-20	8.86E-11	2.59E-08	0.030544097	0.030544097	-1	-1	438	271	592	125	159	34	HIST1H2BL
ENSG00000197153	-2.270957888	5.840781033	1.94E-25	1.05E-22	4.54E-09	7.87E-07	0.030544097	0.030544097	-1	-1	2524	2521	2114	717	1013	219	HIST1H3J
ENSG00000144749	-2.243668913	1.148530073	6.05E-16	1.81E-13	1.04E-13	4.73E-11	0.030544097	0.030544097	-1	-1	110	61	130	19	25	30	LRIG1
ENSG00000115616	-2.238984525	1.457990562	3.14E-17	1.05E-14	2.23E-05	0.000661889	0.030544097	0.030544097	-1	-1	120	92	156	16	71	6	SLC9A2
ENSG00000171208	-2.220154021	3.511221426	3.01E-22	1.46E-19	0.020548657	0.089067427	0.030544097	0.030544097	-1	0	494	395	632	13	378	2	NETO2
ENSG00000214391	-2.133803261	2.05144774	7.52E-18	2.71E-15	1.52E-07	1.47E-05	0.030544097	0.030544097	-1	-1	136	234	116	56	58	36	RP11-121L10.3
ENSG00000075213	-2.121664895	4.36757421	1.21E-21	5.68E-19	2.52E-17	1.36E-14	0.030544097	0.030544097	-1	-1	939	687	1090	167	350	232	SEMA3A
ENSG00000227954	-2.102877469	1.210209062	7.35E-15	1.88E-12	8.14E-14	3.81E-11	0.030544097	0.030544097	-1	-1	105	70	131	26	30	28	RP3-323P13.2
ENSG00000115604	-2.087398641	0.786934551	2.90E-13	5.74E-11	1.11E-06	6.76E-05	0.030544097	0.030544097	-1	-1	77	61	83	16	41	6	IL18R1
ENSG00000103888	-2.043744368	1.42010078	7.72E-15	1.94E-12	2.00E-11	6.70E-09	0.030544097	0.030544097	-1	-1	124	61	180	31	46	24	KIAA1199
ENSG00000197846	-2.043714303	5.489440306	3.96E-21	1.80E-18	1.41E-11	4.81E-09	0.030544097	0.030544097	-1	-1	2019	1691	1933	726	761	252	HIST1H2BF
ENSG00000101076	-2.014261191	1.224300382	6.31E-14	1.34E-11	1.07E-10	3.07E-08	0.030544097	0.030544097	-1	-1	110	70	124	40	35	15	HNF4A
ENSG00000102678	-1.980996746	2.150099014	5.55E-16	1.70E-13	1.83E-10	4.68E-08	0.030544097	0.030544097	-1	-1	182	157	228	33	82	58	FGF9
ENSG00000114631	-1.961884362	0.435242289	9.22E-11	1.16E-08	1.04E-08	1.58E-06	0.030544097	0.030544097	-1	-1	60	46	63	15	13	24	PODXL2
ENSG00000183914	-1.95648184	0.255739359	2.91E-10	3.17E-08	3.32E-08	4.20E-06	0.030544097	0.030544097	-1	-1	57	36	57	12	23	11	DNAH2
ENSG00000135373	-1.950583743	5.930310821	1.28E-19	4.99E-17	9.89E-05	0.002024348	0.030544097	0.030544097	-1	-1	2637	1971	3273	1548	873	110	EHF
ENSG00000116991	-1.939905277	4.689280466	5.06E-19	1.92E-16	7.31E-06	0.000286427	0.030544097	0.030544097	-1	-1	1139	832	1349	400	588	71	SIPA1L2
ENSG00000231023	-1.934160407	0.391938515	1.74E-10	2.01E-08	9.78E-08	1.03E-05	0.030544097	0.030544097	-1	-1	56	34	80	30	15	7	LINC00326
ENSG00000254373	-1.933578829	3.035486632	4.55E-17	1.49E-14	5.58E-06	0.000231744	0.030544097	0.030544097	-1	-1	347	426	140	95	117	118	RP11-34P1.2
ENSG00000241007	-1.922175582	2.256734058	1.29E-15	3.63E-13	3.53E-05	0.000932859	0.030544097	0.030544097	-1	-1	203	256	71	82	64	49	SEPT7P6
ENSG00000251369	-1.913845815	0.669602798	3.99E-11	5.34E-09	0.000174503	0.003039727	0.030544097	0.030544097	-1	-1	60	48	97	40	1	23	ZNF550
ENSG00000095739	-1.899918493	1.120273748	2.15E-12	3.55E-10	1.46E-09	2.97E-07	0.030544097	0.030544097	-1	-1	100	55	129	39	35	15	BAMBI
ENSG00000107984	-1.875254984	5.746562444	2.90E-18	1.07E-15	3.16E-20	2.22E-17	0.030544097	0.030544097	-1	-1	2224	1493	3394	787	534	917	DKK1
ENSG00000143195	-1.828323337	1.636430997	4.75E-13	9.13E-11	1.09E-07	1.10E-05	0.030544097	0.030544097	-1	-1	119	93	189	80	26	28	ILDR2
ENSG00000169851	-1.820121899	7.445988419	1.40E-17	4.90E-15	3.26E-14	1.58E-11	0.030544097	0.030544097	-1	-1	7494	5799	8494	3694	2380	1568	PCDH7
ENSG00000214223	-1.803730585	4.009282101	3.08E-16	9.60E-14	7.98E-10	1.71E-07	0.030544097	0.030544097	-1	-1	845	584	473	252	271	180	HNRNPA1P10
ENSG00000224578	-1.803488119	7.125714925	2.80E-17	9.59E-15	1.92E-10	4.81E-08	0.030544097	0.030544097	-1	-1	7393	5078	3930	1910	2367	1802	HNRNPA1P48
ENSG00000248546	-1.786763625	2.347558397	5.71E-14	1.23E-11	5.59E-09	9.34E-07	0.030544097	0.030544097	-1	-1	248	191	164	88	70	65	ANP32C
ENSG00000214975	-1.785977024	2.665480564	1.79E-14	4.18E-12	4.61E-06	0.0002011	0.030544097	0.030544097	-1	-1	218	335	146	102	93	83	PPIAP29
ENSG00000186854	-1.784297928	1.9456385	3.80E-13	7.41E-11	8.65E-12	3.04E-09	0.030544097	0.030544097	-1	-1	163	118	205	66	65	38	TRABD2A
ENSG00000234297	-1.783191992	3.29774341	2.92E-15	7.73E-13	1.67E-07	1.57E-05	0.030544097	0.030544097	-1	-1	420	437	263	131	189	112	RP11-54D18.4
ENSG00000171522	-1.761522109	-0.012015243	6.76E-08	3.70E-06	1.27E-05	0.000435031	0.030544097	0.030544097	-1	-1	31	33	57	9	26	7	PTGER4
ENSG00000260103	-1.749398508	-0.021167614	6.76E-08	3.70E-06	7.42E-06	0.000288718	0.030544097	0.030544097	-1	-1	37	36	44	11	24	7	RP11-10O17.1
ENSG00000256663	-1.717567067	3.834465254	8.02E-15	1.95E-12	2.22E-12	8.65E-10	0.030544097	0.030544097	-1	-1	678	480	556	233	254	165	RP11-424C20.2
ENSG00000251066	-1.713048601	1.155934218	1.18E-10	1.42E-08	1.25E-05	0.000432021	0.030544097	0.030544097	-1	-1	112	88	56	30	45	25	CTC-534B23.1
ENSG00000182611	-1.7063189	6.170727845	1.29E-15	3.63E-13	2.18E-07	1.94E-05	0.030544097	0.030544097	-1	-1	3169	2485	3006	1178	1728	436	HIST1H2AJ
ENSG00000117600	-1.70589383	0.005193336	7.30E-08	3.91E-06	0.001881088	0.016982988	0.030544097	0.030544097	-1	-1	45	36	36	13	31	0	LPPR4
ENSG00000234145	-1.699584938	3.180412007	5.71E-14	1.23E-11	2.42E-05	0.000701018	0.030544097	0.030544097	-1	-1	488	368	151	117	154	143	NAP1L4P3
ENSG00000158747	-1.682381896	2.253800484	1.64E-12	2.77E-10	4.14E-07	3.16E-05	0.030544097	0.030544097	-1	-1	229	180	143	66	96	58	NBL1
ENSG00000158164	-1.676790324	2.018352373	5.42E-12	8.10E-10	1.21E-05	0.000420932	0.030544097	0.030544097	-1	-1	148	72	329	53	104	31	TMSB15A
ENSG00000169621	-1.67402605	2.348948503	1.39E-12	2.39E-10	3.43E-07	2.75E-05	0.030544097	0.030544097	-1	-1	216	151	266	81	123	34	APLF
ENSG00000099994	-1.662040554	0.426236257	2.53E-08	1.61E-06	9.55E-06	0.000355988	0.030544097	0.030544097	-1	-1	59	32	75	14	36	11	SUSD2
ENSG00000198518	-1.650993407	6.708328424	8.07E-15	1.95E-12	3.25E-10	7.61E-08	0.030544097	0.030544097	-1	-1	5137	3201	4263	1886	2181	921	HIST1H4E
ENSG00000058091	-1.64608144	3.447369624	1.89E-13	3.86E-11	0.003056884	0.024039585	0.030544097	0.030544097	-1	-1	444	319	598	48	414	52	CDK14
ENSG00000183298	-1.642227179	4.188758669	5.70E-14	1.23E-11	5.44E-08	6.31E-06	0.030544097	0.030544097	-1	-1	920	653	521	340	341	190	RP11-556K13.1
ENSG00000226986	-1.609416803	0.720203397	7.09E-09	5.21E-07	3.65E-05	0.000954914	0.030544097	0.030544097	-1	-1	73	66	48	39	25	14	RP11-543B16.2
ENSG00000255213	-1.603386644	0.901670826	3.48E-09	2.75E-07	2.14E-05	0.000643595	0.030544097	0.030544097	-1	-1	84	71	59	38	37	14	NPM1P35
ENSG00000212195	-1.597903227	0.821474275	7.50E-09	5.46E-07	1.86E-06	0.000101409	0.030544097	0.030544097	-1	-1	65	51	100	26	43	15	U3
ENSG00000120162	-1.591685044	0.176373059	2.65E-07	1.19E-05	2.43E-06	0.0001228	0.030544097	0.030544097	-1	-1	40	28	70	25	14	14	MOB3B
ENSG00000183971	-1.590164151	1.067271924	2.26E-09	1.89E-07	1.50E-05	0.000499062	0.030544097	0.030544097	-1	-1	103	79	55	36	30	34	NPW
ENSG00000133687	-1.584525875	1.813541108	1.56E-10	1.85E-08	0.065729767	0.195133508	0.030544097	0.030544097	-1	0	153	90	193	7	161	2	TMTC1
ENSG00000139343	-1.5711477	6.047740986	1.51E-13	3.13E-11	2.99E-10	7.12E-08	0.030544097	0.030544097	-1	-1	3276	2234	2090	1204	1226	843	SNRPF
ENSG00000136999	-1.561110682	0.380751232	1.56E-07	7.59E-06	7.96E-06	0.000304746	0.030544097	0.030544097	-1	-1	62	38	52	24	12	26	NOV
ENSG00000166432	-1.559006004	1.417684379	1.04E-09	9.34E-08	8.61E-07	5.57E-05	0.030544097	0.030544097	-1	-1	96	83	145	72	32	28	ZMAT1
ENSG00000105750	-1.550955035	2.589728586	2.00E-11	2.76E-09	0.004611281	0.032005574	0.030544097	0.030544097	-1	-1	244	217	238	128	166	9	ZNF85
ENSG00000179271	-1.548362223	4.31644383	1.08E-12	1.91E-10	3.53E-07	2.81E-05	0.030544097	0.030544097	-1	-1	1111	649	494	338	315	337	GADD45GIP1
ENSG00000170231	-1.546893069	1.698952753	3.48E-10	3.67E-08	0.000236675	0.003804128	0.030544097	0.030544097	-1	-1	148	114	112	96	51	16	FABP6
ENSG00000235070	-1.54688087	1.660996251	5.25E-10	5.20E-08	2.31E-06	0.000120059	0.030544097	0.030544097	-1	-1	118	81	196	90	34	34	AC068138.1
ENSG00000187833	-1.542506308	0.570486659	7.07E-08	3.82E-06	0.012567081	0.064563338	0.030544097	0.030544097	-1	0	59	60	48	12	58	2	C2orf78
ENSG00000165929	-1.532802742	4.873112705	9.64E-13	1.76E-10	1.81E-10	4.68E-08	0.030544097	0.030544097	-1	-1	1180	987	1276	340	519	595	TC2N
ENSG00000197903	-1.531063837	6.828689945	4.82E-13	9.16E-11	9.56E-08	1.01E-05	0.030544097	0.030544097	-1	-1	4616	3732	5079	2271	2647	870	HIST1H2BK
ENSG00000231878	-1.52142227	1.111516346	8.39E-09	6.02E-07	5.29E-07	3.87E-05	0.030544097	0.030544097	-1	-1	104	65	83	37	36	34	SNRPFP1
ENSG00000250067	-1.520501089	2.296363297	1.13E-10	1.37E-08	3.67E-05	0.000958975	0.030544097	0.030544097	-1	-1	215	207	113	66	92	87	YJEFN3
ENSG00000106211	-1.513477789	4.173909316	3.72E-12	5.74E-10	2.15E-07	1.92E-05	0.030544097	0.030544097	-1	-1	876	607	572	217	408	284	HSPB1
ENSG00000157240	-1.505540202	2.077967354	3.29E-10	3.53E-08	3.58E-09	6.71E-07	0.030544097	0.030544097	-1	-1	169	135	195	89	60	65	FZD1
ENSG00000131470	-1.499380877	3.789645321	9.09E-12	1.30E-09	1.86E-07	1.70E-05	0.030544097	0.030544097	-1	-1	609	456	537	242	338	130	PSMC3IP
ENSG00000231341	-1.498614541	0.25984803	6.94E-07	2.70E-05	1.83E-05	0.0005798	0.030544097	0.030544097	-1	-1	50	41	45	28	17	14	VDAC1P6
ENSG00000117525	-1.497433323	4.721969156	3.20E-12	5.10E-10	2.55E-14	1.28E-11	0.030544097	0.030544097	-1	-1	1052	825	1263	493	518	344	F3
ENSG00000076770	-1.488877997	4.149371487	7.96E-12	1.15E-09	0.003074954	0.024118904	0.030544097	0.030544097	-1	-1	677	508	978	209	653	55	MBNL3
ENSG00000249565	-1.484505269	5.465045601	3.24E-12	5.11E-10	4.66E-08	5.55E-06	0.030544097	0.030544097	-1	-1	2241	1503	1186	766	798	709	SERBP1P5
ENSG00000219553	-1.484120231	1.141133764	1.27E-08	8.76E-07	0.000358963	0.005182644	0.030544097	0.030544097	-1	-1	83	105	48	50	39	23	RP1-281H8.3
ENSG00000187123	-1.480810782	2.050933104	7.06E-10	6.68E-08	0.000288326	0.004417017	0.030544097	0.030544097	-1	-1	130	126	248	57	132	24	LYPD6
ENSG00000130600	-1.477350302	-0.027485707	2.51E-06	8.02E-05	0.000772819	0.008979788	0.030544097	0.030544097	-1	-1	35	38	36	10	31	7	H19
ENSG00000120337	-1.471355898	1.756632279	2.43E-09	2.01E-07	2.19E-05	0.000652862	0.030544097	0.030544097	-1	-1	117	102	187	52	96	26	TNFSF18
ENSG00000230397	-1.471246198	1.650479427	2.70E-09	2.19E-07	4.12E-05	0.001055657	0.030544097	0.030544097	-1	-1	159	113	75	62	53	46	SPTLC1P1
ENSG00000232665	-1.469670818	0.66544009	2.28E-07	1.04E-05	2.37E-06	0.000121515	0.030544097	0.030544097	-1	-1	63	36	93	24	35	21	PHBP10
ENSG00000238251	-1.457974564	1.38192988	8.78E-09	6.23E-07	9.08E-05	0.001919483	0.030544097	0.030544097	-1	-1	115	107	61	51	45	38	RP11-172F4.2
ENSG00000131746	-1.454881913	3.220899812	7.18E-11	9.25E-09	1.15E-07	1.14E-05	0.030544097	0.030544097	-1	-1	365	300	427	257	133	103	TNS4
ENSG00000158406	-1.451015153	3.578574552	5.23E-11	6.86E-09	1.21E-05	0.000420932	0.030544097	0.030544097	-1	-1	492	332	613	169	363	95	HIST1H4H
ENSG00000229204	-1.447756587	1.779852513	3.30E-09	2.62E-07	5.66E-07	4.10E-05	0.030544097	0.030544097	-1	-1	154	115	121	62	59	57	PTGES3P3
ENSG00000258245	-1.446374105	0.862221389	7.67E-08	4.03E-06	0.003713978	0.027605272	0.030544097	0.030544097	-1	-1	73	80	43	43	45	6	RP11-114H23.3
ENSG00000214960	-1.44501757	0.578712671	4.40E-07	1.82E-05	0.000113635	0.002242052	0.030544097	0.030544097	-1	-1	61	29	92	45	17	15	ISPD
ENSG00000236081	-1.442083433	1.20948417	2.60E-08	1.64E-06	2.96E-05	0.000810239	0.030544097	0.030544097	-1	-1	91	94	69	36	44	39	AC074389.9
ENSG00000065809	-1.440358184	5.594629802	1.24E-11	1.76E-09	4.77E-09	8.08E-07	0.030544097	0.030544097	-1	-1	1798	1365	2698	1106	1043	430	FAM107B
ENSG00000197766	-1.440050687	3.7524914	5.12E-11	6.78E-09	1.83E-05	0.0005798	0.030544097	0.030544097	-1	-1	661	505	289	291	223	198	CFD
ENSG00000170860	-1.433065454	6.050624721	1.36E-11	1.90E-09	4.87E-08	5.74E-06	0.030544097	0.030544097	-1	-1	2681	2543	2048	1231	1418	869	LSM3
ENSG00000172086	-1.427289093	3.664157455	9.14E-11	1.16E-08	8.47E-09	1.34E-06	0.030544097	0.030544097	-1	-1	542	420	483	200	285	185	KRCC1
ENSG00000263781	-1.426582658	1.521826225	1.30E-08	8.88E-07	1.48E-05	0.000495549	0.030544097	0.030544097	-1	-1	140	97	83	53	49	48	RP11-321A17.3
ENSG00000113657	-1.42576784	4.337868687	3.83E-11	5.17E-09	1.00E-07	1.03E-05	0.030544097	0.030544097	-1	-1	848	506	1114	600	247	243	DPYSL3
ENSG00000189334	-1.424756974	6.569393106	1.57E-11	2.18E-09	1.07E-07	1.09E-05	0.030544097	0.030544097	-1	-1	4058	3145	3603	2604	1074	1425	S100A14
ENSG00000188290	-1.417374392	0.848549007	2.03E-07	9.53E-06	0.000215376	0.003567921	0.030544097	0.030544097	-1	-1	112	40	54	43	25	26	HES4
ENSG00000140022	-1.41148339	1.295746982	4.70E-08	2.71E-06	7.82E-06	0.000300873	0.030544097	0.030544097	-1	-1	81	59	161	52	55	23	STON2
ENSG00000213856	-1.408360142	1.882649681	6.20E-09	4.71E-07	1.75E-05	0.000562112	0.030544097	0.030544097	-1	-1	155	144	103	65	70	60	VDAC1P2
ENSG00000240132	-1.402681379	1.446868039	2.98E-08	1.85E-06	1.81E-05	0.000577324	0.030544097	0.030544097	-1	-1	128	94	80	49	52	43	ETF1P2
ENSG00000237452	-1.399203931	-0.145329271	1.55E-05	0.000374171	0.001954341	0.017447805	0.030544097	0.030544097	-1	-1	29	26	48	13	30	3	AC074212.3
ENSG00000197372	-1.395713104	3.153279057	4.48E-10	4.60E-08	8.39E-08	9.07E-06	0.030544097	0.030544097	-1	-1	389	299	311	158	191	129	ZNF675
ENSG00000179085	-1.39539919	3.062740917	5.33E-10	5.20E-08	4.53E-06	0.000198965	0.030544097	0.030544097	-1	-1	413	283	223	154	172	123	DPM3
ENSG00000165125	-1.39001637	0.666148552	7.89E-07	3.01E-05	2.07E-05	0.000628022	0.030544097	0.030544097	-1	-1	55	46	84	42	27	15	TRPV6
ENSG00000108518	-1.380795775	7.811812262	5.33E-11	6.93E-09	4.12E-09	7.43E-07	0.030544097	0.030544097	-1	-1	9499	7739	7755	4473	4611	3168	PFN1
ENSG00000101057	-1.380764479	4.574794368	1.28E-10	1.52E-08	6.87E-12	2.48E-09	0.030544097	0.030544097	-1	-1	952	659	1222	432	544	320	MYBL2
ENSG00000069482	-1.376032501	2.765082142	1.57E-09	1.34E-07	1.22E-09	2.56E-07	0.030544097	0.030544097	-1	-1	254	169	404	148	125	97	GAL
ENSG00000149929	-1.372886672	3.554109303	4.52E-10	4.60E-08	2.94E-07	2.41E-05	0.030544097	0.030544097	-1	-1	545	362	422	245	264	134	HIRIP3
ENSG00000131153	-1.368421989	4.751383911	1.62E-10	1.89E-08	2.88E-11	9.27E-09	0.030544097	0.030544097	-1	-1	1081	778	1299	616	533	334	GINS2
ENSG00000115963	-1.366787915	4.019253153	3.40E-10	3.62E-08	1.48E-12	6.10E-10	0.030544097	0.030544097	-1	-1	636	466	805	319	320	248	RND3
ENSG00000197619	-1.361912892	1.057129232	3.23E-07	1.41E-05	0.000138977	0.00258248	0.030544097	0.030544097	-1	-1	95	54	91	20	60	31	ZNF615
ENSG00000243759	-1.355372108	3.031758676	1.53E-09	1.33E-07	3.39E-05	0.000902657	0.030544097	0.030544097	-1	-1	352	321	196	142	172	133	ST13P15
ENSG00000225373	-1.355107372	2.165602976	9.13E-09	6.41E-07	2.90E-05	0.000799645	0.030544097	0.030544097	-1	-1	190	169	127	86	97	62	WASH5P
ENSG00000257704	-1.35420463	0.166953042	8.52E-06	0.000225533	0.000205321	0.003450179	0.030544097	0.030544097	-1	-1	55	32	37	19	27	13	PRR24
ENSG00000254893	-1.35152965	4.940056037	2.39E-10	2.65E-08	1.88E-06	0.000101969	0.030544097	0.030544097	-1	-1	1303	1169	807	617	620	458	RP11-466P24.2
ENSG00000160213	-1.345799946	4.462366087	3.77E-10	3.96E-08	2.39E-08	3.23E-06	0.030544097	0.030544097	-1	-1	987	732	718	401	437	377	CSTB
ENSG00000180596	-1.336379414	7.079414267	2.19E-10	2.44E-08	7.34E-06	0.000286427	0.030544097	0.030544097	-1	-1	5411	3994	6241	2999	3572	1036	HIST1H2BC
ENSG00000253144	-1.335714585	1.2913939	1.82E-07	8.74E-06	3.54E-05	0.000932859	0.030544097	0.030544097	-1	-1	92	92	84	60	37	37	RP11-281O15.7
ENSG00000229417	-1.335246196	1.78573004	3.88E-08	2.32E-06	3.98E-05	0.001030589	0.030544097	0.030544097	-1	-1	128	131	118	70	81	39	NPM1P25
ENSG00000249242	-1.328206057	0.101362461	1.47E-05	0.000357588	7.07E-05	0.001608211	0.030544097	0.030544097	-1	-1	32	37	50	23	18	16	TMEM150C
ENSG00000099901	-1.327903777	6.285024916	3.17E-10	3.43E-08	1.67E-09	3.36E-07	0.030544097	0.030544097	-1	-1	3374	2204	3421	1768	1704	915	RANBP1
ENSG00000164684	-1.321074794	5.115397105	5.26E-10	5.20E-08	0.004469839	0.031255496	0.030544097	0.030544097	-1	-1	1339	1003	1691	1316	572	115	ZNF704
ENSG00000155066	-1.31667955	0.69326593	2.21E-06	7.29E-05	0.001080148	0.011383551	0.030544097	0.030544097	-1	-1	55	36	101	54	11	24	PROM2
ENSG00000147996	-1.314146175	3.68291355	1.99E-09	1.68E-07	1.48E-06	8.45E-05	0.030544097	0.030544097	-1	-1	632	403	374	270	249	202	CBWD5
ENSG00000224861	-1.311979987	6.467271028	4.89E-10	4.91E-08	1.79E-06	9.81E-05	0.030544097	0.030544097	-1	-1	4039	3139	2265	1777	1698	1501	YBX1P1
ENSG00000259086	-1.307620352	1.943369837	5.34E-08	3.06E-06	6.87E-06	0.000274873	0.030544097	0.030544097	-1	-1	174	124	126	71	78	65	RP11-134E15.2
ENSG00000234335	-1.305965634	5.029173528	8.62E-10	8.02E-08	0.000680427	0.008218947	0.030544097	0.030544097	-1	-1	1422	1377	496	613	548	670	RPS4XP11
ENSG00000133739	-1.295833055	5.10392922	1.11E-09	9.87E-08	8.13E-07	5.31E-05	0.030544097	0.030544097	-1	-1	1383	1161	1244	839	762	368	LRRCC1
ENSG00000231549	-1.29477204	2.395481836	2.55E-08	1.62E-06	3.29E-05	0.000882583	0.030544097	0.030544097	-1	-1	260	163	153	84	123	88	USMG5P1
ENSG00000127774	-1.294430415	3.263152093	5.31E-09	4.10E-07	1.82E-05	0.000577324	0.030544097	0.030544097	-1	-1	484	302	257	196	213	135	EMC6
