ENSG_ids	PUM1 KD average	PUM2 KD average	PUM1 OE average	PUM2 OE average	NORAD 48h siRNA average	NORAD 24h OE average
ENSG00000216056_ENSG00000269224						
ENSG00000215943_ENSG00000269661						
ENSG00000216009						
ENSG00000216099						
ENSG00000215938						
ENSG00000216077						
ENSG00000211575						
ENSG00000215952						
ENSG00000215973						
ENSG00000199130						
ENSG00000199187						
ENSG00000237864						
ENSG00000270607		-0,266687646				
ENSG00000235947		-0,153545043	0,200691543	-0,594652666	0,096383461	0,356819422
ENSG00000240288	-0,215474211	-0,325870954	0,511559994	0,655435911	-0,061560485	0,187879286
ENSG00000186367						
ENSG00000232803						
ENSG00000173088						
ENSG00000257495						
ENSG00000253250	-0,177754152	-0,263827491	0,00727222	0,121619981	-0,04474434	-0,072098959
ENSG00000265489						
ENSG00000224129						
ENSG00000241313		-0,095764244				
ENSG00000268894		-0,623693566				
ENSG00000245112						
ENSG00000225828		-1,05194079				
ENSG00000234336						
ENSG00000204832						
ENSG00000253302						
ENSG00000269364						
ENSG00000239219		-0,160348184				
ENSG00000227660						
ENSG00000257167	-0,248630988	0,002819781	0,166875453	0,611669376	0,14398728	0,205410038
ENSG00000255002						
ENSG00000204241						
ENSG00000166770	0,07476039	-0,317583115	-0,142121835	-0,135415586	-0,169030168	-0,069803821
ENSG00000220575						
ENSG00000246877		-0,184560968				
ENSG00000233491						
ENSG00000173626						
ENSG00000203499_ENSG00000260333	-0,22443911	0,779489818	-0,070938596	-0,32192809	0,141192523	-0,240319667
ENSG00000225684	-0,198944904	1,052739256	-0,143953816	-0,173458453	-0,23809301	-0,72184383
ENSG00000233093						
ENSG00000251143	-0,544900193	0,34931795	-1,585295266	-1,475516453	-1,367628265	-1,762490677
ENSG00000149443						
ENSG00000229105						
ENSG00000231920						
ENSG00000203280		-0,501950007				
ENSG00000225932_ENSG00000236761						
ENSG00000266983		0,948081001				
ENSG00000183397		-0,383435513				
ENSG00000227028		0,067986142				
ENSG00000253971						
ENSG00000229589	0,17127207	0,071109047	0,219367323	0,120375943	0,170643933	-0,184615394
ENSG00000227392						
ENSG00000205786						
ENSG00000206187		0,178376528				
ENSG00000228474	0,001148974	-0,104407965	-0,014057717	-0,165752475	-5,36E-06	-0,047330915
ENSG00000254109		0,948081001				
ENSG00000205890						
ENSG00000175611	-0,1187659	0,197940993	0,15780593	0,011207981	0,038015211	0,014434145
ENSG00000230402						
ENSG00000205913		0,609597948				
ENSG00000233642						
ENSG00000261455	-0,060801435	-0,113369302	-0,035933318	0,251415111	0,061534575	-0,061347415
ENSG00000261373		1,128260459				
ENSG00000215374		-0,580547101				
ENSG00000266010		-0,795770661				
ENSG00000179627	0,086084321	-0,057854464	-0,072213907	0,021452236	0,359274405	-0,070143174
ENSG00000205632		0,457129479				
ENSG00000253557						
ENSG00000205424						
ENSG00000224093						
ENSG00000186615	-0,340579832	0,404080668	0,043062598	0,203114432	-0,149993934	0,00872589
ENSG00000256980		-0,396641718				
ENSG00000215869						
ENSG00000224090						
ENSG00000269293	0,248561739	-0,243554062	0,007195246	0,317569041	-0,013767619	-0,17970285
ENSG00000186056	-0,056723933	-0,55577784	0,46387213	0,080537022	0,133695825	0,023168925
ENSG00000226083						
ENSG00000186146						
ENSG00000235453	-0,1882564	0,065640813	-0,236289308	-0,354917642	-0,104946168	-0,070224797
ENSG00000231346		1,316861729				
ENSG00000198854						
ENSG00000197176						
ENSG00000236409						
ENSG00000205549						
ENSG00000244879	-0,169646573	-0,039780935	-0,048779933	0,09420715	-0,137862668	0,100052315
ENSG00000205217						
ENSG00000224415	0,035780502	-0,071107141	-0,096841803	-0,108600803	0,366724571	-0,197512415
ENSG00000226122						
ENSG00000233251	-0,211784626	0,501139308	-0,001412413	-0,025112933	-0,193052274	-0,395090634
ENSG00000229358	-0,184342244	0,043270895	0,124080143	0,252164219	-0,169629573	-0,045287806
ENSG00000272142		0,317497133				
ENSG00000225526						
ENSG00000234420	-0,249783233	0,035696575	0,163856983	0,162079101	0,032927594	-0,06016418
ENSG00000224107_ENSG00000269263						
ENSG00000112096	-0,021438419	-0,274522975	-0,063297142	0,33287741	-0,07260356	-0,989539081
ENSG00000269896	0,267760795	-0,23565446	0,033644685	0,039907889	0,201910923	0,04408242
ENSG00000183850		1,148736322				
ENSG00000273033	0,140525852	0,124914759	-0,012799482	0,249748151	0,081036758	-0,030046202
ENSG00000233610						
ENSG00000232825						
ENSG00000261787		-0,795770661				
ENSG00000226031		1,761014741				
ENSG00000205442						
ENSG00000198865	-0,252282875	0,078678672	-0,079382267	0,126197312	-0,188117565	-0,076815921
ENSG00000177112						
ENSG00000237440_ENSG00000262578		0,168804339				
ENSG00000224729	-0,160632488	0,114620287	-0,105946875	-0,340844967	-0,26088262	-0,208988605
ENSG00000196951		0,646472782				
ENSG00000249592	-0,142608331	-0,317594322	0,056330222	-0,098215914	-0,082772454	0,16985304
ENSG00000164008		-0,81862101				
ENSG00000245748						
ENSG00000268153						
ENSG00000224043	-0,123865467	0,440911969	0,452115223	-0,113808548	-0,024879547	0,206359689
ENSG00000094631_ENSG00000269101	0,002438055	0,136114315	0,109163968	-0,021654885	0,057735633	-0,053343761
ENSG00000222019		-0,353827409				
ENSG00000250426						
ENSG00000256678						
ENSG00000143740	0,288792077	0,234812091	0,469059709	0,353327371	0,44662041	0,173767311
ENSG00000254377						
ENSG00000228237						
ENSG00000245164		0,00390414				
ENSG00000179447						
ENSG00000255181_ENSG00000261246						
ENSG00000229950						
ENSG00000254802						
ENSG00000205710		0,025860791				
ENSG00000237250						
ENSG00000269811						
ENSG00000187066						
ENSG00000227208	0,256215874	0,31972294	0,477377223	0,426829981	0,338028948	-0,087980477
ENSG00000237438	0,032499874	-0,060547393	0,082248949	-0,302750764	0,051458757	0,058774373
ENSG00000133805						
ENSG00000237499		0,748999068				
ENSG00000265944						
ENSG00000188051						
ENSG00000272145	0,059764914	0,336031357	-0,012094788	-0,066320131	-0,080916791	-0,012690356
ENSG00000188825	0,071409135	0,0992416	-0,077763112	-0,140473462	-0,168421346	-0,099632776
ENSG00000203900						
ENSG00000183631						
ENSG00000226468	-0,106513734	0,618583476	0,02355942	-0,335343517	-0,287188276	-0,536537881
ENSG00000213963	-0,25146772	0,088011527	-0,132763435	-0,248395812	-0,424364433	-0,431971642
ENSG00000260857	0,135364849	-0,333449129	0,086358158	-0,119340679	0,271284315	0,238663397
ENSG00000185837						
ENSG00000214954	-0,446678865	0,40282808	0,287959641	0,685757202	-0,038326265	-0,057439483
ENSG00000231274		-0,160348184				
ENSG00000261676_ENSG00000233437						
ENSG00000259248		0,552264122				
ENSG00000226864						
ENSG00000226422_ENSG00000224744_ENSG00000204528_ENSG00000230983_ENSG00000223364_ENSG00000231450_ENSG00000224056						
ENSG00000214353						
ENSG00000259120						
ENSG00000242599_ENSG00000268132		0,25182508				
ENSG00000261879	0,020859691	0,291674671	0,013411129	-0,231233373	-0,558856508	-0,185930231
ENSG00000237339						
ENSG00000205078	0,159923031	-0,496725055	1,024441359	0,844023562	1,187093835	1,170033491
ENSG00000254082						
ENSG00000203711	0,289965242	-0,086398001	-0,264310244	0,219345809	0,024800288	0,353303828
ENSG00000164500						
ENSG00000261671	-0,175448771	0,300522669	0,257150023	0,118551156	-0,142073964	-0,088060714
ENSG00000231150						
ENSG00000234807						
ENSG00000247572	-0,125698826	0,264900336	0,069672654	0,133126219	0,030205825	-0,032320163
ENSG00000248508	0,093794834	0,117985201	-0,083887059	0,147185312	-0,223954558	-0,106852114
ENSG00000204282	0,081350565	0,159207702	0,301555955	0,140609551	0,148673747	0,55774986
ENSG00000241560						
ENSG00000188334						
ENSG00000185847		-0,366219299				
ENSG00000243836						
ENSG00000215845	0,134888028	0,102065502	0,243333795	0,145879145	0,226264717	0,200673114
ENSG00000228544	0,078384409	0,010763839	-0,187922518	-0,329889692	0,099200146	0,366178293
ENSG00000227906		0,040532529				
ENSG00000189362	-0,064485684	-0,077174976	0,084532347	0,088222838	-0,109819603	-0,110791687
ENSG00000229989		-0,623693566				
ENSG00000230778						
ENSG00000259721						
ENSG00000225449		0,023040252				
ENSG00000263818		0,791996166				
ENSG00000251533						
ENSG00000205177		-0,257089477				
ENSG00000217236						
ENSG00000241769		1,227722938				
ENSG00000204345						
ENSG00000231784		0,575203572				
ENSG00000196946		1,463869875				
ENSG00000223745	-0,149761101	0,109518001	0,211695754	0,150560971	0,091054756	0,039091923
ENSG00000267858	-0,13789542	-0,172119953	-0,264746848	-0,238446324	0,060153074	-0,147028797
ENSG00000204949						
ENSG00000256262						
ENSG00000196440_ENSG00000268722	-0,109945389	0,199769983	0,155492851	0,112127568	-0,019429866	-0,002374575
ENSG00000229833	-0,016446412	0,194593353	0,03643271	0,009713752	0,067711985	0,056369138
ENSG00000231028						
ENSG00000229547						
ENSG00000225670		0,302571434				
ENSG00000227124	-0,12340408	-0,320807053	0,022313118	0,353177968	-0,049669876	0,126029327
ENSG00000204767		0,459018498				
ENSG00000232263						
ENSG00000215372						
ENSG00000204805		0,939557295				
ENSG00000257122	0,015646582	0,022383329	0,101882873	-0,263733453	-0,023442758	0,048939359
ENSG00000204060	0,206145921	-0,023226407	0,055076279	-0,048613819	0,345927415	0,107820614
ENSG00000232063						
ENSG00000255428						
ENSG00000225725						
ENSG00000180139		0,313291239				
ENSG00000267790						
ENSG00000231609						
ENSG00000243716	0,008383952	0,058321293	-0,23576184	0,165658187	0,264607813	0,184173932
ENSG00000237037	0,357429889	0,431916316	0,180450131	0,63106485	0,55262876	-0,151013941
ENSG00000188681	-0,013854385	-0,101394603	0,073016925	-0,114773998	0,158785099	-0,010595943
ENSG00000131797	0,207575984	0,056025928	-0,003884917	-0,557773912	0,107705949	0,142357922
ENSG00000262121_ENSG00000212722						
ENSG00000215356						
ENSG00000198019_ENSG00000263850						
ENSG00000185758						
ENSG00000205865						
ENSG00000240871						
ENSG00000250439	0,326368193	0,009261312	0,101519273	0,090876046	-0,205819836	0,462809676
ENSG00000260886		-0,067720154				
ENSG00000257150						
ENSG00000226913		-0,43870606				
ENSG00000214081		-0,518007869				
ENSG00000259378	-0,193207245	0,479729513	0,001150587	-1,101803424	0,068689526	-0,290975264
ENSG00000231426						
ENSG00000269837	-0,145514364	-0,016790778	0,060046923	-0,120050873	-0,018341579	-0,13307859
ENSG00000237661						
ENSG00000123965		0,340672447				
ENSG00000235531	0,038310233	0,571478836	0,206069471	0,12816422	0,057715188	-0,277756082
ENSG00000145642		-0,245779878				
ENSG00000255052		-0,333067387				
ENSG00000175170						
ENSG00000203870_ENSG00000268084						
ENSG00000175676						
ENSG00000230417						
ENSG00000223839						
ENSG00000203987						
ENSG00000205485		-0,878420756				
ENSG00000175170						
ENSG00000226985						
ENSG00000227888						
ENSG00000224843	-0,28611479	-0,08706829	0,210296112	0,712669548	0,226697558	0,101911299
ENSG00000205281_ENSG00000197978_ENSG00000259243_ENSG00000196648						
ENSG00000248522						
ENSG00000230212						
ENSG00000268674_ENSG00000272058						
ENSG00000254369						
ENSG00000250632						
ENSG00000226416						
ENSG00000236423_ENSG00000268811	0,062057969	-0,235871054	-0,327670776	-0,496196779	0,403680507	0,090832677
ENSG00000247317						
ENSG00000184906_ENSG00000182021_ENSG00000261522						
ENSG00000272398						
ENSG00000267064		0,453165169				
ENSG00000231327	0,574708046	0,294771432	-0,249563905	-0,592627512	0,353693006	-0,158839288
ENSG00000267278						
ENSG00000235958						
ENSG00000260231	0,129528623	0,449210502	0,229516455	0,089462987	0,141123281	0,357320172
ENSG00000239332	0,055386792	-0,263583532	0,664200492	0,770225912	0,189058647	0,198601416
ENSG00000267605						
ENSG00000236829		0,91761506				
ENSG00000240889		1,320529606				
ENSG00000225273_ENSG00000259429						
ENSG00000108840	0,109474044	0,379592974	0,101771048	-0,124999607	0,162334418	0,106027485
ENSG00000187997						
ENSG00000237119						
ENSG00000250846	-0,016047512	0,129904752	-0,216065436	0,203848591	0,060159103	-0,08797023
ENSG00000205559	0,059968241	-0,008797028	0,494177607	-0,978549166	0,013265769	-0,328047563
ENSG00000258647						
ENSG00000227268		0,531509594				
ENSG00000170248	-0,040237491	0,007517468	-0,068609227	0,021709707	-0,096707825	-0,076868733
ENSG00000264229						
ENSG00000221676_ENSG00000268972						
ENSG00000254911						
ENSG00000249915	-0,000311201	0,006767604	0,069004267	-0,032374058	-0,017316812	0,074471887
ENSG00000237675						
ENSG00000236027						
ENSG00000242412		-1,185225102				
ENSG00000137875						
ENSG00000226763	-0,10779163	0,097377899	-0,523019711	-0,374527198	0,236354715	-0,228973064
ENSG00000204978_ENSG00000273205						
ENSG00000179294		0,324387435				
ENSG00000153094	0,045964292	0,438913241	0,236688986	0,10092337	-0,049027445	-0,191782854
ENSG00000221120						
ENSG00000221656						
ENSG00000124593_ENSG00000214736	0,005465321	-0,148810467	-0,084562243	-0,118915121	0,039790056	0,094296941
ENSG00000238121						
ENSG00000225194						
ENSG00000227695		1,431164597				
ENSG00000237737						
ENSG00000111252	0,038380784	0,108695529	0,195414876	0,010980825	0,040800229	0,014173967
ENSG00000197291	-0,095238527	0,054314213	-0,089401782	-0,212785734	-0,208198169	0,248107084
ENSG00000170919	-0,019001747	0,166012943	0,238099964	0,016515593	0,223758444	-0,040625166
ENSG00000214039						
ENSG00000187658						
ENSG00000225556						
ENSG00000206448						
ENSG00000253661		-0,247276995				
ENSG00000235295						
ENSG00000266149						
ENSG00000179242	0,015944636	0,009041489	0,185760412	-0,087576196	0,159969924	0,136485719
ENSG00000159921	-0,024708026	0,070838986	0,08804081	0,018454222	0,03529086	-0,054239171
ENSG00000138622	0,117420545	-0,149892683	-0,017970108	-0,406421864	0,303438364	0,085156465
ENSG00000231298	0,027676367	0,797458409	-0,332293934	-0,449953202	-0,181503196	-0,18688714
ENSG00000178162		0,619732106				
ENSG00000172410						
ENSG00000165879	0,319622964	0,050759583	0,151134876	-0,348349509	0,039382059	-0,007424065
ENSG00000188681						
ENSG00000247774						
ENSG00000135451	-0,084235888	-0,097176049	0,010421744	-0,089034126	0,067879204	0,052856588
ENSG00000225488						
ENSG00000249388						
ENSG00000250654						
ENSG00000175221	0,072154653	-0,219676968	0,054789093	-0,133809715	0,366881272	0,387995486
ENSG00000142892	-0,094991043	0,157731718	0,09908433	0,211697429	-0,062508697	-0,155872482
ENSG00000204758	0,17277561	-0,4611984	0,02209881	0,058542952	0,186572784	0,373011533
ENSG00000234435						
ENSG00000249375		1,268517381				
ENSG00000273148	0,084595138	0,032744851	0,274438504	0,157629942	0,261209736	-0,372195111
ENSG00000235049						
ENSG00000214694	-0,165250977	0,22421142	0,453347169	0,226254109	0,22615368	-0,074847707
ENSG00000236854						
ENSG00000180747	0,013771969	0,008228117	0,021115981	0,066093977	0,017552473	0,074251172
ENSG00000268964		0,240250202				
ENSG00000268257						
ENSG00000170667_ENSG00000105808	-0,134758163	0,325856293	-0,264206813	-0,268748865	0,029015188	-0,462511325
ENSG00000273339						
ENSG00000235703_ENSG00000269312	-0,210858415	0,559239364	-0,395925663	0,330971951	0,031597604	0,022982075
ENSG00000258057	0,339537167	0,085550941	0,082308502	-0,354398544	-0,409912692	-0,257255178
ENSG00000227802_ENSG00000178836						
ENSG00000232998						
ENSG00000246089	0,176481695	0,118184931	0,066118779	-0,003882119	0,107020374	0,112586165
ENSG00000233614		-0,130026991				
ENSG00000263843	0,262375644	-0,019691344	-0,184134185	-0,122837964	-0,152724642	0,108514176
ENSG00000226521		-0,135159152				
ENSG00000265962						
ENSG00000232600		-0,446031153				
ENSG00000223972						
ENSG00000236834						
ENSG00000231396						
ENSG00000234769_ENSG00000227232	-0,150185743	-0,03083151	-0,057241665	-0,438582718	-0,234034276	-0,043501566
ENSG00000267757		-0,133316003				
ENSG00000259863	0,276959842	-0,875789633	0,02459575	0,111808507	0,18535369	0,253925071
ENSG00000227115						
ENSG00000196350_ENSG00000262918						
ENSG00000232399						
ENSG00000205693		1,478126408				
ENSG00000235884	0,074329454	0,035282107	0,06726246	0,084845865	-0,057063412	0,251186652
ENSG00000249104						
ENSG00000261603						
ENSG00000248920						
ENSG00000240204		0,017890824				
ENSG00000260898						
ENSG00000196668	0,372583565	0,442408099	0,964127924	0,313270268	0,60142152	0,392595047
ENSG00000251573						
ENSG00000248472_ENSG00000223972						
ENSG00000261801	0,062331643	0,063167649	-0,084545509	-0,198227068	-0,008645967	-0,024061506
ENSG00000225549						
ENSG00000244681						
ENSG00000230062						
ENSG00000226167						
ENSG00000228372_ENSG00000268559						
ENSG00000223546	-0,222075395	-0,064951747	0,200963508	0,083300561	0,117947722	-0,218696122
ENSG00000204117						
ENSG00000229228						
ENSG00000189196						
ENSG00000215912						
ENSG00000223776		-0,789293415				
ENSG00000138297	0,017601532	-0,008931504	-0,08889147	-0,092206047	-0,054492039	-0,005511475
ENSG00000179452						
ENSG00000228327		-0,835763178				
ENSG00000255282_ENSG00000262809	-0,160223736	0,493522135	-0,125782116	0,162344546	-0,164861887	-0,298676864
ENSG00000261024						
ENSG00000267690						
ENSG00000267244						
ENSG00000225138	0,011207345	0,005183747	0,303220815	0,027063532	0,18576707	0,442853275
ENSG00000253741_ENSG00000262916	-0,015516652	0,060159755	0,109466126	-0,032111092	-0,005025053	-0,069149973
ENSG00000270362	-0,091621129	-0,271916027	-0,240107736	0,317697319	0,087504657	0,114773146
ENSG00000206106						
ENSG00000231068						
ENSG00000224712_ENSG00000254852_ENSG00000183793_ENSG00000183889_ENSG00000233024_ENSG00000169246_ENSG00000185864_ENSG00000243716	0,181453347	0,201615927	0,188460951	-0,058769399	0,002317182	-0,144452803
ENSG00000227487_ENSG00000262033		0,044310557				
ENSG00000226887	0,172345939	-0,110964104	-0,007559671	-0,137496862	-0,134641897	0,048293565
ENSG00000227110	-0,247643832	0,35918911	-0,405974933	-0,29487756	-0,587142199	-0,062597703
ENSG00000223799						
ENSG00000256892						
ENSG00000248472						
ENSG00000223569						
ENSG00000270375						
ENSG00000187951	-0,150368336	-0,019843971	0,105254255	0,037983945	-0,055673734	0,004921187
ENSG00000261806						
ENSG00000261485	0,078004631	-0,170923986	0,114497758	0,124655443	0,334942033	-0,007155319
ENSG00000261437						
ENSG00000146556	-0,027288257	-0,216539736	0,006918224	-0,296562385	0,209268741	0,098788586
ENSG00000198326_ENSG00000241690						
ENSG00000257261	-0,028384328	0,442137167	0,060991464	-0,513988625	-0,273221756	-0,480798644
ENSG00000157423						
ENSG00000234469						
ENSG00000227929						
ENSG00000214654	-0,042753391	-0,186495094	0,231825789	0,457180212	0,49272985	0,445162504
ENSG00000258940		0,525185411				
ENSG00000249906						
ENSG00000233917_ENSG00000237375						
ENSG00000234771	0,042587495	0,295853111	0,159119523	0,05174148	0,112673727	0,197535839
ENSG00000260442	-0,114637395	0,124277111	0,279356693	-0,117201572	0,552700654	0,400306517
ENSG00000204805						
ENSG00000232284						
ENSG00000234610						
ENSG00000263429						
ENSG00000247400	-0,163649328	0,281582067	0,410449896	0,525447834	0,292180026	0,086047936
ENSG00000234773						
ENSG00000268129	-0,467584229	0,239773045	0,013926465	-0,632743424	-0,343993721	0,060507133
ENSG00000228889	-0,529872045	-0,037153489	-0,038348113	-0,498765418	-0,276280122	0,246890321
ENSG00000246174	-0,007006537	0,355152186	0,065217187	0,337345628	-0,130131586	0,1630303
ENSG00000177257_ENSG00000171711						
ENSG00000232528		-1,034963686				
ENSG00000226009		2,452664395				
ENSG00000230267	-0,050772022	0,016738263	0,091794811	0,112639793	-0,129134235	-0,1752786
ENSG00000224888		0,374316173				
ENSG00000196458	-0,185915893	0,383860616	0,18802843	0,307245882	0,018365455	-0,100095709
ENSG00000225877		-0,425824673				
ENSG00000232431						
ENSG00000253224						
ENSG00000204946	0,115052666	-0,130789127	0,22473369	-0,107369559	0,033589348	0,295194971
ENSG00000269343	0,046693902	0,276631987	0,06818407	-0,034156304	-0,007319119	-0,017915127
ENSG00000263069	-0,025188264	0,11372902	-0,158702021	-0,235276864	-0,19581001	-0,080182642
ENSG00000225391						
ENSG00000179776		0,087995971				
ENSG00000221264						
ENSG00000221325						
ENSG00000216171_ENSG00000268097						
ENSG00000222532_ENSG00000269724						
ENSG00000221371						
ENSG00000211543						
ENSG00000221039						
ENSG00000223109						
ENSG00000221634						
ENSG00000221783						
ENSG00000221697						
ENSG00000221355						
ENSG00000221763						
ENSG00000222246						
ENSG00000269782						
ENSG00000221055						
ENSG00000222071						
ENSG00000221628						
ENSG00000221287						
ENSG00000221493						
ENSG00000221788						
ENSG00000272045		-0,177464183				
ENSG00000221062_ENSG00000101361						
ENSG00000222831						
ENSG00000221393						
ENSG00000222958						
ENSG00000222321_ENSG00000268450						
ENSG00000258498						
ENSG00000221091						
ENSG00000221251						
ENSG00000221598						
ENSG00000221063						
ENSG00000221710_ENSG00000268137						
ENSG00000221808						
ENSG00000221394						
ENSG00000221525						
ENSG00000221028						
ENSG00000221436		-0,248944058				
ENSG00000221771						
ENSG00000221680						
ENSG00000238367						
ENSG00000221753						
ENSG00000239070						
ENSG00000221417						
ENSG00000221081_ENSG00000268676						
ENSG00000221240						
ENSG00000221176						
ENSG00000221563						
ENSG00000221390						
ENSG00000238517_ENSG00000221147_ENSG00000262269						
ENSG00000221430						
ENSG00000221033						
ENSG00000249859		-0,36144438				
ENSG00000221305						
ENSG00000238705						
ENSG00000221494						
ENSG00000221594						
ENSG00000221265						
ENSG00000212051						
ENSG00000261230_ENSG00000221802_ENSG00000071894						
ENSG00000221365						
ENSG00000221052						
ENSG00000221464						
ENSG00000221737						
ENSG00000221548						
ENSG00000272920_ENSG00000221200						
ENSG00000221614						
ENSG00000221739						
ENSG00000221795						
ENSG00000221463						
ENSG00000221476						
ENSG00000221502						
ENSG00000221604						
ENSG00000222715_ENSG00000269213						
ENSG00000221269						
ENSG00000238399						
ENSG00000221410						
ENSG00000221560						
ENSG00000221586						
ENSG00000221025						
ENSG00000221585						
ENSG00000221641						
ENSG00000221630						
ENSG00000221754						
ENSG00000221160		0,528242477				
ENSG00000199035						
ENSG00000221170_ENSG00000166012		0,133899534				
ENSG00000206357_ENSG00000264258_ENSG00000221267_ENSG00000266612_ENSG00000233801_ENSG00000231044_ENSG00000266406_ENSG00000265895_ENSG00000204356_ENSG00000264555_ENSG00000206268_ENSG00000229363						
ENSG00000221445						
ENSG00000221745						
ENSG00000221792_ENSG00000140264		-0,680017774				
ENSG00000221017						
ENSG00000221540						
ENSG00000265496						
ENSG00000222651						
ENSG00000221456						
ENSG00000222190						
ENSG00000222326_ENSG00000149485						
ENSG00000221421						
ENSG00000221227						
ENSG00000221184		-0,914311328				
ENSG00000221230						
ENSG00000221662						
ENSG00000221275						
ENSG00000221203						
ENSG00000221273						
ENSG00000221261						
ENSG00000199024						
ENSG00000221411						
ENSG00000221552						
ENSG00000221650						
